Age group,Survey period,Sample (n),Overweight,Obesity,Severe obesity,Gender
20 and over,Jan 1 1999,"4,117",34,30.5,4.7,All
20 and over,Jan 1 2000,"4,117",34,30.5,4.7,All
20 and over,Jan 1 2001,"4,413",35.1,30.5,5.1,All
20 and over,Jan 1 2002,"4,413",35.1,30.5,5.1,All
20 and over,Jan 1 2003,"4,431",34.1,32.2,4.8,All
20 and over,Jan 1 2004,"4,431",34.1,32.2,4.8,All
20 and over,Jan 1 2005,"4,356",32.6,34.3,5.9,All
20 and over,Jan 1 2006,"4,356",32.6,34.3,5.9,All
20 and over,Jan 1 2007,"5,550",34.3,33.7,5.7,All
20 and over,Jan 1 2008,"5,550",34.3,33.7,5.7,All
20 and over,Jan 1 2009,"5,926",33,35.7,6.3,All
20 and over,Jan 1 2010,"5,926",33,35.7,6.3,All
20 and over,Jan 1 2011,"5,181",33.6,34.9,6.4,All
20 and over,Jan 1 2012,"5,181",33.6,34.9,6.4,All
20 and over,Jan 1 2013,"5,455",32.5,37.7,7.7,All
20 and over,Jan 1 2014,"5,455",32.5,37.7,7.7,All
20 and over,Jan 1 2015,"5,337",31.6,39.6,7.7,All
20 and over,Jan 1 2016,"5,337",31.6,39.6,7.7,All
